cluster,rho,theta,speed,start,direction
3.0,51.500001,1.6475908,93.57236782300164,2023-10-05 08:33:45,left
2.0,56.75,1.6475908,93.57236782300164,2023-10-05 08:34:45,left
3.0,63.500001,1.6475908,93.57236782300164,2023-10-05 08:34:45,left
2.0,30.050001,1.6475908,93.57236782300164,2023-10-05 08:35:45,left
3.0,39.65,1.6475908,93.57236782300164,2023-10-05 08:35:45,left
4.0,27.45,1.6475908,93.57236782300164,2023-10-05 08:59:45,left
0.0,3.3166667666666663,1.6475908,93.57236782300164,2023-10-05 09:05:45,left
2.0,49.349999999999994,1.6475908,93.57236782300164,2023-10-05 09:09:45,left
2.0,53.45,1.6475908,93.57236782300164,2023-10-05 09:10:45,left
1.0,43.4,1.6475908,93.57236782300164,2023-10-05 09:29:45,left
2.0,16.550001,1.6475908,93.57236782300164,2023-10-05 09:50:45,left
2.0,34.616667,1.6475908,93.57236782300164,2023-10-05 10:01:45,left
2.0,45.5500008,1.6475908000000001,93.57236782300137,2023-10-05 10:10:45,left
3.0,57.75,1.6475908,93.57236782300164,2023-10-05 10:10:45,left
2.0,45.050001,1.6475908,93.57236782300164,2023-10-05 10:13:45,left
3.0,58.550001,1.6475908,93.57236782300164,2023-10-05 10:13:45,left
2.0,3.425,1.6475908,93.57236782300164,2023-10-05 10:16:45,left
2.0,61.05,1.6475908,93.57236782300164,2023-10-05 10:19:45,left
1.0,3.1833333333333336,1.6475908,93.57236782300164,2023-10-05 10:29:45,left
3.0,-7.75,1.6475908,93.57236782300164,2023-10-05 10:29:45,left
2.0,54.01666666666667,1.6475908,93.57236782300164,2023-10-05 10:30:45,left
3.0,43.55,1.6475908,93.57236782300164,2023-10-05 10:30:45,left
1.0,-5.300000150000001,1.6475908,93.57236782300164,2023-10-05 10:37:45,left
3.0,3.0500000090909087,1.6533821272727274,86.98376132522421,2023-10-05 08:26:45,right
2.0,41.140000199999996,1.65500845,85.2961739758976,2023-10-05 08:33:45,right
2.0,55.6,1.6475908,93.57236782300164,2023-10-05 08:34:45,right
2.0,25.483333666666667,1.6659167333333336,75.46511007951797,2023-10-05 08:35:45,right
3.0,51.670000400000006,1.6475908000000001,93.57236782300137,2023-10-05 08:40:45,right
3.0,17.59347843478261,1.654648008695652,85.6645599838313,2023-10-05 08:42:45,right
3.0,24.45000023076923,1.6438987384615384,98.31645433201969,2023-10-05 08:47:45,right
2.0,-13.85000025,1.6475908,93.57236782300164,2023-10-05 08:49:45,right
1.0,1.3428571457142857,1.6480894571428573,92.96629734853086,2023-10-05 08:52:45,right
2.0,33.133333444444446,1.6569962,83.31982274891854,2023-10-05 08:52:45,right
3.0,29.96428614285714,1.6523281357142856,88.11332870587624,2023-10-05 08:59:45,right
3.0,21.807143142857143,1.6603067857142857,80.22258755429148,2023-10-05 09:00:45,right
1.0,-1.6055556,1.6480756222222221,92.98300710012522,2023-10-05 09:05:45,right
3.0,42.290000533333334,1.6547466466666667,85.56343422663343,2023-10-05 09:06:45,right
1.0,-0.20555556444444445,1.6461363666666666,95.38582887196658,2023-10-05 09:08:45,right
2.0,46.07500066666666,1.648681625,92.25663363066897,2023-10-05 09:09:45,right
2.0,45.5000005,1.66089895,79.69251984409338,2023-10-05 09:10:45,right
3.0,36.116668000000004,1.6475908,93.57236782300164,2023-10-05 09:23:45,right
4.0,29.25,1.6659168,75.46505686823276,2023-10-05 09:23:45,right
3.0,39.350001,1.662644275,78.16986917005192,2023-10-05 09:29:45,right
5.0,48.416666666666664,1.6475908,93.57236782300164,2023-10-05 09:29:45,right
2.0,-23.7000005,1.6475908,93.57236782300164,2023-10-05 09:38:45,right
1.0,46.39736894736842,1.6586598710526317,81.7342677457322,2023-10-05 09:40:45,right
1.0,40.3300002,1.64907433,91.79191886748573,2023-10-05 09:41:45,right
2.0,-8.65,1.6507905999999999,89.81437489744104,2023-10-05 09:41:45,right
2.0,62.05000028571429,1.6538241285714288,86.5185824471847,2023-10-05 09:45:45,right
2.0,-0.59000002,1.6475908000000001,93.57236782300137,2023-10-05 09:47:45,right
4.0,30.050001,1.6536994,86.64935028935825,2023-10-05 09:47:45,right
2.0,73.85,1.6475908,93.57236782300164,2023-10-05 09:48:45,right
3.0,22.626470823529413,1.6529807823529412,87.41047639604916,2023-10-05 09:50:45,right
4.0,10.386842315789474,1.6587058052631578,81.691339534871,2023-10-05 09:53:45,right
1.0,57.03333366666667,1.6472999,93.9295709068336,2023-10-05 09:57:45,right
2.0,17.805555777777776,1.655347811111111,84.95219672264379,2023-10-05 09:57:45,right
3.0,28.75,1.6475908,93.57236782300164,2023-10-05 09:57:45,right
3.0,28.61666688888889,1.6510814555555555,89.4876021839949,2023-10-05 10:01:45,right
1.0,39.95,1.6475908,93.57236782300164,2023-10-05 10:02:45,right
2.0,-9.55,1.662426075,78.35706663962598,2023-10-05 10:02:45,right
3.0,31.47,1.66364784,77.32019093088572,2023-10-05 10:02:45,right
4.0,-3.8,1.6475908,93.57236782300164,2023-10-05 10:05:45,right
1.0,-20.483333333333334,1.6475908,93.57236782300164,2023-10-05 10:06:45,right
2.0,18.41956539130435,1.653775343478261,86.56968297749654,2023-10-05 10:07:45,right
1.0,6.792105415789474,1.6477745052631578,93.34817978022416,2023-10-05 10:08:45,right
2.0,43.5250005,1.648681625,92.25663363066897,2023-10-05 10:10:45,right
3.0,59.350002,1.6475908,93.57236782300164,2023-10-05 10:10:45,right
2.0,50.15000066666667,1.6498209333333334,90.92112367251413,2023-10-05 10:13:45,right
