x1,y1,x2,y2,length,angle,speed,left,middle,right,batch
61,434,664,226,637.8659733831238,-0.33216168045202,-83.4923076923077,2023-10-05 08:25:40.875,2023-10-05 08:25:23.625,2023-10-05 08:25:06.375,2023-10-05 08:24:44
50,439,726,206,715.0279714808365,-0.33192269358550003,-83.55708154506438,2023-10-05 08:25:41.000,2023-10-05 08:25:23.750,2023-10-05 08:25:06.500,2023-10-05 08:24:44
42,443,738,203,736.2173592085425,-0.3320594675428855,-83.52,2023-10-05 08:25:41.125,2023-10-05 08:25:23.875,2023-10-05 08:25:06.625,2023-10-05 08:24:44
41,444,745,202,744.4326698902997,-0.3310960767041321,-83.78181818181818,2023-10-05 08:25:41.250,2023-10-05 08:25:24.000,2023-10-05 08:25:06.875,2023-10-05 08:24:44
39,446,751,201,752.9734391065863,-0.3314100607591226,-83.69632653061225,2023-10-05 08:25:41.375,2023-10-05 08:25:24.125,2023-10-05 08:25:07.000,2023-10-05 08:24:44
39,448,758,200,760.5688660469872,-0.3321451904006756,-83.49677419354839,2023-10-05 08:25:41.625,2023-10-05 08:25:24.375,2023-10-05 08:25:07.125,2023-10-05 08:24:44
130,329,733,124,636.8940257217051,-0.3277087758455263,-84.71414634146342,2023-10-05 08:25:40.625,2023-10-05 08:25:23.625,2023-10-05 08:25:06.625,2023-10-05 08:24:54
56,356,743,122,725.7582242041767,-0.32828640904257333,-84.55384615384615,2023-10-05 08:25:40.875,2023-10-05 08:25:23.750,2023-10-05 08:25:06.750,2023-10-05 08:24:54
50,359,750,121,739.3537718846101,-0.3277385067805555,-84.70588235294119,2023-10-05 08:25:41.000,2023-10-05 08:25:23.875,2023-10-05 08:25:06.875,2023-10-05 08:24:54
41,364,752,121,751.3787327307049,-0.3293261670478376,-84.26666666666667,2023-10-05 08:25:41.250,2023-10-05 08:25:24.125,2023-10-05 08:25:07.000,2023-10-05 08:24:54
39,366,758,120,759.9190746388723,-0.3296571728204689,-84.17560975609757,2023-10-05 08:25:41.375,2023-10-05 08:25:24.250,2023-10-05 08:25:07.125,2023-10-05 08:24:54
39,367,758,121,759.9190746388723,-0.3296571728204689,-84.17560975609757,2023-10-05 08:25:41.500,2023-10-05 08:25:24.375,2023-10-05 08:25:07.250,2023-10-05 08:24:54
120,253,735,44,649.5429162110845,-0.3275927469355101,-84.7464114832536,2023-10-05 08:25:40.625,2023-10-05 08:25:23.625,2023-10-05 08:25:06.625,2023-10-05 08:25:04
130,249,729,45,632.7851136049267,-0.32824721461865347,-84.56470588235294,2023-10-05 08:25:40.625,2023-10-05 08:25:23.625,2023-10-05 08:25:06.500,2023-10-05 08:25:04
56,276,744,42,726.7048919609665,-0.3278427331598747,-84.67692307692309,2023-10-05 08:25:40.875,2023-10-05 08:25:23.875,2023-10-05 08:25:06.750,2023-10-05 08:25:04
50,279,751,41,740.3006146154412,-0.3273036797156747,-84.82689075630253,2023-10-05 08:25:40.875,2023-10-05 08:25:24.000,2023-10-05 08:25:07.000,2023-10-05 08:25:04
44,282,758,40,753.8965446266484,-0.3267840689330325,-84.97190082644629,2023-10-05 08:25:41.000,2023-10-05 08:25:24.125,2023-10-05 08:25:07.125,2023-10-05 08:25:04
42,283,754,42,751.681448487323,-0.32637820331449163,-85.08547717842325,2023-10-05 08:25:41.125,2023-10-05 08:25:24.125,2023-10-05 08:25:07.250,2023-10-05 08:25:04
39,286,758,42,759.2739953402855,-0.32716491215045956,-84.8655737704918,2023-10-05 08:25:41.375,2023-10-05 08:25:24.375,2023-10-05 08:25:07.375,2023-10-05 08:25:04
3,353,631,552,658.7753790177651,0.30686927181239926,90.88643216080402,2023-10-05 08:26:48.000,2023-10-05 08:27:03.750,2023-10-05 08:27:19.625,2023-10-05 08:26:04
3,354,638,555,666.0525504793146,0.3065570417477242,90.98507462686568,2023-10-05 08:26:48.125,2023-10-05 08:27:03.875,2023-10-05 08:27:19.750,2023-10-05 08:26:04
3,271,745,510,779.5415319275811,0.31160891428024434,89.41255230125523,2023-10-05 08:26:47.750,2023-10-05 08:27:03.750,2023-10-05 08:27:19.875,2023-10-05 08:26:14
3,272,749,512,783.6555365720324,0.31125860687525897,89.52000000000001,2023-10-05 08:26:47.875,2023-10-05 08:27:03.875,2023-10-05 08:27:20.000,2023-10-05 08:26:14
3,192,745,430,779.2355228042418,0.31038740713235147,89.78823529411765,2023-10-05 08:26:47.875,2023-10-05 08:27:03.875,2023-10-05 08:27:19.875,2023-10-05 08:26:24
3,193,750,433,784.6075452097054,0.3108682754060654,89.64,2023-10-05 08:26:48.000,2023-10-05 08:27:04.000,2023-10-05 08:27:20.125,2023-10-05 08:26:24
3,113,745,350,778.9306772749421,0.30916494205107914,90.16708860759493,2023-10-05 08:26:48.000,2023-10-05 08:27:03.875,2023-10-05 08:27:19.875,2023-10-05 08:26:34
4,113,717,340,748.2633226344855,0.30822644238237795,90.45991189427313,2023-10-05 08:26:47.875,2023-10-05 08:27:03.875,2023-10-05 08:27:19.750,2023-10-05 08:26:34
3,114,750,353,784.3022376609671,0.3096543701994624,90.01506276150627,2023-10-05 08:26:48.125,2023-10-05 08:27:04.125,2023-10-05 08:27:20.000,2023-10-05 08:26:34
3,32,705,256,736.8717663203008,0.30887572934493374,90.25714285714287,2023-10-05 08:26:47.875,2023-10-05 08:27:03.750,2023-10-05 08:27:19.750,2023-10-05 08:26:44
3,34,745,270,778.6269967063819,0.30794152156718163,90.54915254237288,2023-10-05 08:26:48.125,2023-10-05 08:27:04.000,2023-10-05 08:27:19.875,2023-10-05 08:26:44
5,35,750,273,782.0927055023592,0.30921582879356146,90.15126050420169,2023-10-05 08:26:48.125,2023-10-05 08:27:04.125,2023-10-05 08:27:20.000,2023-10-05 08:26:44
45,277,745,543,748.8364307377145,0.3631470099461763,75.78947368421053,2023-10-05 08:27:16.375,2023-10-05 08:27:35.375,2023-10-05 08:27:54.375,2023-10-05 08:26:44
43,277,752,547,758.6705477346541,0.363861647577107,75.62666666666667,2023-10-05 08:27:16.500,2023-10-05 08:27:35.500,2023-10-05 08:27:54.625,2023-10-05 08:26:44
42,278,753,548,760.5399397796278,0.36292577101173285,75.84,2023-10-05 08:27:16.750,2023-10-05 08:27:35.625,2023-10-05 08:27:54.625,2023-10-05 08:26:44
47,281,753,550,755.5110852925985,0.36403785626219703,75.58661710037174,2023-10-05 08:27:16.875,2023-10-05 08:27:35.875,2023-10-05 08:27:54.875,2023-10-05 08:26:44
46,197,708,448,707.9865817937513,0.3624076190222682,75.95856573705179,2023-10-05 08:27:16.375,2023-10-05 08:27:35.375,2023-10-05 08:27:54.250,2023-10-05 08:26:54
43,197,750,466,756.4456358523063,0.36356716760415925,75.69368029739778,2023-10-05 08:27:16.500,2023-10-05 08:27:35.500,2023-10-05 08:27:54.625,2023-10-05 08:26:54
42,198,753,468,760.5399397796278,0.36292577101173285,75.84,2023-10-05 08:27:16.750,2023-10-05 08:27:35.625,2023-10-05 08:27:54.625,2023-10-05 08:26:54
45,200,753,470,757.7361018190963,0.36433131731253837,75.52,2023-10-05 08:27:16.750,2023-10-05 08:27:35.875,2023-10-05 08:27:54.875,2023-10-05 08:26:54
43,117,738,380,743.0975709824384,0.36176325859649155,76.10646387832699,2023-10-05 08:27:16.500,2023-10-05 08:27:35.500,2023-10-05 08:27:54.375,2023-10-05 08:27:04
43,118,749,385,754.8012983560641,0.3615617934304055,76.15280898876404,2023-10-05 08:27:16.625,2023-10-05 08:27:35.625,2023-10-05 08:27:54.500,2023-10-05 08:27:04
42,118,752,387,759.250288113215,0.36216205544949165,76.01486988847583,2023-10-05 08:27:16.750,2023-10-05 08:27:35.625,2023-10-05 08:27:54.625,2023-10-05 08:27:04
45,120,753,388,757.0257591390138,0.3618628063648706,76.08358208955224,2023-10-05 08:27:16.750,2023-10-05 08:27:35.750,2023-10-05 08:27:54.625,2023-10-05 08:27:04
46,520,739,243,746.309587235753,-0.380257559003541,-72.05198555956679,2023-10-05 08:28:11.250,2023-10-05 08:27:51.250,2023-10-05 08:27:31.250,2023-10-05 08:27:04
45,522,746,242,754.8516410527303,-0.38001437223201534,-72.10285714285715,2023-10-05 08:28:11.375,2023-10-05 08:27:51.500,2023-10-05 08:27:31.500,2023-10-05 08:27:04
43,37,752,307,758.6705477346541,0.363861647577107,75.62666666666667,2023-10-05 08:27:16.500,2023-10-05 08:27:35.500,2023-10-05 08:27:54.625,2023-10-05 08:27:14
45,37,749,305,753.2861342146157,0.3637426616180117,75.65373134328358,2023-10-05 08:27:16.375,2023-10-05 08:27:35.500,2023-10-05 08:27:54.500,2023-10-05 08:27:14
42,37,754,309,762.1863289248896,0.3649130991617934,75.38823529411765,2023-10-05 08:27:16.500,2023-10-05 08:27:35.625,2023-10-05 08:27:54.750,2023-10-05 08:27:14
43,39,753,310,759.9611832192484,0.3646230599455741,75.4538745387454,2023-10-05 08:27:16.750,2023-10-05 08:27:35.875,2023-10-05 08:27:54.875,2023-10-05 08:27:14
46,440,739,163,746.309587235753,-0.380257559003541,-72.05198555956679,2023-10-05 08:28:11.250,2023-10-05 08:27:51.250,2023-10-05 08:27:31.250,2023-10-05 08:27:14
45,442,745,162,753.9230729988305,-0.3805063771123649,-72.0,2023-10-05 08:28:11.500,2023-10-05 08:27:51.500,2023-10-05 08:27:31.375,2023-10-05 08:27:14
45,443,747,163,755.7803913836347,-0.37952357644599216,-72.2057142857143,2023-10-05 08:28:11.500,2023-10-05 08:27:51.625,2023-10-05 08:27:31.625,2023-10-05 08:27:14
47,541,746,270,749.6946044890545,-0.3698553060352815,-74.2848708487085,2023-10-05 08:28:23.875,2023-10-05 08:28:04.500,2023-10-05 08:27:45.125,2023-10-05 08:27:14
48,542,748,271,750.6270711878169,-0.3693737346213438,-74.39114391143912,2023-10-05 08:28:24.000,2023-10-05 08:28:04.625,2023-10-05 08:27:45.250,2023-10-05 08:27:14
47,542,748,270,751.9208734966732,-0.37013381753486296,-74.2235294117647,2023-10-05 08:28:24.000,2023-10-05 08:28:04.625,2023-10-05 08:27:45.125,2023-10-05 08:27:14
52,542,748,272,746.5360004715111,-0.3700589960377175,-74.24000000000001,2023-10-05 08:28:24.250,2023-10-05 08:28:04.875,2023-10-05 08:27:45.375,2023-10-05 08:27:14
46,360,745,82,752.2532818140444,-0.37853155864772836,-72.41438848920863,2023-10-05 08:28:11.250,2023-10-05 08:27:51.375,2023-10-05 08:27:31.500,2023-10-05 08:27:24
46,361,748,83,755.0417207015781,-0.3770632033114445,-72.7251798561151,2023-10-05 08:28:11.375,2023-10-05 08:27:51.500,2023-10-05 08:27:31.750,2023-10-05 08:27:24
47,461,746,190,749.6946044890545,-0.3698553060352815,-74.2848708487085,2023-10-05 08:28:23.875,2023-10-05 08:28:04.500,2023-10-05 08:27:45.125,2023-10-05 08:27:24
47,462,748,190,751.9208734966732,-0.37013381753486296,-74.2235294117647,2023-10-05 08:28:24.000,2023-10-05 08:28:04.625,2023-10-05 08:27:45.125,2023-10-05 08:27:24
50,462,748,191,748.7623120857513,-0.37033807678141395,-74.17859778597787,2023-10-05 08:28:24.125,2023-10-05 08:28:04.750,2023-10-05 08:27:45.250,2023-10-05 08:27:24
52,462,749,191,747.8301946297702,-0.37082205111977296,-74.07232472324723,2023-10-05 08:28:24.250,2023-10-05 08:28:04.750,2023-10-05 08:27:45.375,2023-10-05 08:27:24
47,279,725,10,729.4141484780782,-0.37770597710088216,-72.58884758364312,2023-10-05 08:28:11.125,2023-10-05 08:27:51.250,2023-10-05 08:27:31.625,2023-10-05 08:27:34
45,283,728,10,735.5392579597639,-0.3802539156181073,-72.05274725274725,2023-10-05 08:28:11.500,2023-10-05 08:27:51.625,2023-10-05 08:27:31.750,2023-10-05 08:27:34
47,381,745,110,748.7623120857513,-0.37033807678141395,-74.17859778597787,2023-10-05 08:28:23.875,2023-10-05 08:28:04.375,2023-10-05 08:27:45.000,2023-10-05 08:27:34
47,382,747,110,750.9886816723672,-0.3706155028295826,-74.11764705882354,2023-10-05 08:28:24.000,2023-10-05 08:28:04.500,2023-10-05 08:27:45.125,2023-10-05 08:27:34
49,382,748,111,749.6946044890545,-0.3698553060352815,-74.2848708487085,2023-10-05 08:28:24.000,2023-10-05 08:28:04.625,2023-10-05 08:27:45.250,2023-10-05 08:27:34
53,382,742,115,738.9248946949886,-0.3697000624123482,-74.3191011235955,2023-10-05 08:28:24.250,2023-10-05 08:28:04.875,2023-10-05 08:27:45.500,2023-10-05 08:27:34
72,558,743,328,709.3243263839187,-0.3302211498379743,-84.02086956521738,2023-10-05 08:28:46.750,2023-10-05 08:28:29.625,2023-10-05 08:28:12.500,2023-10-05 08:27:34
80,557,745,328,703.3249604556914,-0.3316423180885189,-83.63318777292577,2023-10-05 08:28:47.000,2023-10-05 08:28:29.750,2023-10-05 08:28:12.625,2023-10-05 08:27:34
