x1,y1,x2,y2,length,angle,speed,left,middle,right,batch
116,405,770,187,689.3765299167067,-0.3217505543966422,-86.4,2023-10-05 08:25:40.375,2023-10-05 08:25:23.750,2023-10-05 08:25:07.125,2023-10-05 08:24:45
31,441,799,171,814.0786202818497,-0.33806612283682547,-81.92,2023-10-05 08:25:41.375,2023-10-05 08:25:23.875,2023-10-05 08:25:06.250,2023-10-05 08:24:45
52,428,771,188,757.9980211055963,-0.3221677425242954,-86.28,2023-10-05 08:25:40.625,2023-10-05 08:25:23.875,2023-10-05 08:25:07.250,2023-10-05 08:24:45
31,442,301,347,286.2254356272342,-0.3383236225092596,-81.85263157894737,2023-10-05 08:25:41.500,2023-10-05 08:25:24.000,2023-10-05 08:25:06.375,2023-10-05 08:24:45
400,313,774,189,394.0203040453626,-0.3201454193385678,-86.86451612903225,2023-10-05 08:25:40.625,2023-10-05 08:25:24.125,2023-10-05 08:25:07.500,2023-10-05 08:24:45
400,314,775,190,394.9696190848101,-0.31934863747847336,-87.0967741935484,2023-10-05 08:25:40.750,2023-10-05 08:25:24.250,2023-10-05 08:25:07.625,2023-10-05 08:24:45
42,433,300,348,271.64130760986995,-0.31825813553401056,-87.4164705882353,2023-10-05 08:25:40.750,2023-10-05 08:25:24.375,2023-10-05 08:25:07.875,2023-10-05 08:24:45
30,443,293,353,277.973020273551,-0.32971398105002664,-84.16,2023-10-05 08:25:41.625,2023-10-05 08:25:24.500,2023-10-05 08:25:07.375,2023-10-05 08:24:45
401,317,778,190,397.81654063148255,-0.3249301939195735,-85.49291338582678,2023-10-05 08:25:41.500,2023-10-05 08:25:24.625,2023-10-05 08:25:07.750,2023-10-05 08:24:45
278,439,798,437,520.0038461396223,-0.0038461348810665237,-7488.0,2023-10-05 08:25:40.000,2023-10-05 08:25:39.750,2023-10-05 08:25:39.500,2023-10-05 08:24:45
405,439,790,438,385.0012986991083,-0.0025973967563004815,-11088.0,2023-10-05 08:25:40.000,2023-10-05 08:25:39.875,2023-10-05 08:25:39.625,2023-10-05 08:24:45
